page,song,band,set,number
1,All day and all of the night,The Kinks,1,1
8,New Years Day,U2,1,4
9,Sunday Bloody Sunday,U2,1,5
12,Iron Man,Black Sabbath,2,2
21,Crazy Train,Ozzy Osbourne,2,3
23,The Ocean,Led Zeppelin,3,NA
24,Dyer Maker,Led Zeppelin,2,1
25,Black Dog,Led Zeppelin,3,NA
26,Keep Your Hands To Yourself,Georgia Satellites,1,2
27,Radioactive,Imagine Dragons,1,3
31,Steppin Stone,The Monkees,1,7
41,Blister in the Sun,Violent Femmes,1,6
38,The Gambler,Kenny Rogers,3,NA
49,Sweet Child of Mine,Guns N Roses,1,11
11,You shook me all night long,AC/DC,2,8
13,Back in Black,AC/DC,2,9
35,Born To Run,Bruce Springsteen,2,12
43,Brown Eyed Girl,Van Morrison,2,5
48,Folsom Prison Blues,Johnny Cash,2,7
15,Basket Case,Green Day,2,6
33,Friday I'm in Love,The Cure,2,13
34,Just Like Heaven,The Cure,2,10
51,Country Roads,John Denver,2,11
2,You really got me,The Kinks,1,8
3,Ain't talkin' 'Bout love,Van Halen,3,NA
4,Jamie's Cryin,Van Halen,3,NA
5,Runnin' with the Devil,Van Halen,3,NA
6,Panama,Van Halen,3,NA
16,What You're Doing,Rush,3,NA
17,Tom Sawyer,Rush,3,NA
18,Spirit of the Radio,Rush,3,NA
19,Subdivisions,Rush,3,NA
20,Xanadu,Rush,3,NA
,Sunshine of your Love,Cream,3,NA
,Stairway to Heaven,Led Zeppelin,4,NA
,Pretty Woman,Van Halen,3,NA
,Closer to the Heart,Rush,3,NA
,Trees,Rush,3,NA
28,Born to be Wild,Steppenwolf,1,9
29,Purple Haze,Jimi Hendrix,4,NA
30,Play that Funky Music,Wild Cherry,4,NA
32,Do It Again,The Kinks,4,NA
36,I'm a Believer,The Monkees,2,4
40,Ring of Fire,Johnny Cash,4
42,Wish You Were Here,Pink Floyd,1,10
45,Let It Be,The Beatles,4,NA
47,Rocky Top,The Osborne Brothers,4,NA
,Lola,The Kinks,4,NA
,Comfortably Numb,Pink Floyd,4,NA
,God Shuffled His Feet,Crash Test Dummies,4,NA
,Celluloid Heroes,The Kinks,4,NA
,Yellow Submarine,The Beatles,4,NA
,She Loves You,The Beatles,4,NA
,Proud Mary,Creedence Clearwater Revival,4,NA
,Ruby Tuesday,The Rolling Stones,4,NA
,One,U2,4,NA
,Home on the Range,Gene Autry,4,NA
50,Keep On Rockin' In The Free World, Neil Young, 2,14
